id,saleprice
2658,157315.25517155527
2718,168013.72454152678
2414,172926.71571967145
1989,132115.20334791832
625,173907.9074856672
333,113035.71273924428
1327,127489.01843423446
858,149436.15067824555
95,204407.11868326901
1568,154546.60903052025
2482,160397.40894594058
1364,140995.4417442205
2584,165960.65235305432
818,343741.68677543406
2673,168471.0276447263
2089,112245.63188697424
1297,130588.1928727891
790,126412.5894984889
2616,195999.4406807328
720,200839.4506879478
222,141741.65261168854
557,117588.37963574672
1148,201902.04224063136
2766,139242.77880357852
534,206165.03500431887
1452,118789.65231213716
630,138945.23345346117
2648,123998.82944572449
125,140439.09858926985
1904,76406.50825304611
1670,114971.14506505319
756,108101.48374225362
717,259439.27067026845
1032,154868.951473813
852,227390.3267962429
1731,168100.92687596095
2639,108701.82949444585
2071,82239.30312608444
1267,90499.44946104422
1851,198789.1846914857
567,146964.05589736716
2439,219972.2433559136
1898,162228.06210821957
647,147431.79126888816
2256,220283.83251659773
979,120737.21017109128
1444,223269.81167738314
2485,118235.26969273038
157,130537.22199136124
88,127172.1687247302
2003,115408.419794101
186,191796.3815014737
1425,276233.00065707345
2695,139080.98250025616
738,93801.71320439753
395,157915.7233842404
1353,169401.30132850265
1878,149968.30841277348
390,154701.80998538062
1456,229942.27312777465
1103,338037.4181114617
1387,124518.642750464
2070,142115.10726426647
1199,191594.90434656903
2479,172279.27765416878
501,335990.8386077054
2362,102619.13921471334
1718,199361.26179071373
2188,91227.98978995139
1483,141994.67688061733
2557,89614.5889941453
437,330259.4012836763
2224,181870.355140883
1628,141149.259500484
397,131488.66056456981
587,187066.25859548582
2182,571555.8583238674
971,139454.7967445551
2611,155530.3197491018
1887,69381.7179265396
2399,350016.93062308367
2148,218661.94877638703
304,124702.37340622579
1997,138931.25752505288
2817,120904.76285180263
1431,177744.1658266209
427,359490.4567410771
263,122225.83232559887
598,173297.918970032
2895,266158.6566381954
687,175234.74249675064
1822,135947.99358713263
2191,117861.70856510458
179,147069.90533595707
1009,180595.45302469283
2010,124447.97930488452
1991,146383.9342056508
1411,141046.7045924565
1721,257877.45722020982
1144,189644.6947681887
593,207673.7838822659
575,288056.490771525
1249,177998.7689153743
1604,126899.43527557686
1064,449304.18161320157
1923,155013.25491807103
1988,103807.88806001654
2325,164599.991347105
114,201983.46160490392
2700,195980.53488927713
217,109679.62790632446
343,188027.94548714443
386,248900.06020310073
2005,110638.01488638061
2908,144485.4326546754
1814,215482.17604621052
2446,542581.5009280494
208,137826.28494035866
1679,131978.52182604012
822,330666.69449303986
6,184333.80326763084
1781,439792.61910261295
2397,296505.2439699733
2340,306114.36552407825
1618,165531.79172774652
2843,106516.12425979934
1061,374272.49042740103
2786,117448.15959339924
1935,135726.01094974767
1341,122916.01268647055
521,283024.8801658282
2136,123811.25252508349
996,186893.85527028324
227,143192.41935391555
135,161746.15169899407
1167,177858.36745667146
294,209627.60621777634
1776,206637.08795124484
540,190664.27900413022
1717,199361.26179071373
2303,117932.11260643996
116,193009.65074513038
127,136324.6176912074
1371,143244.31216529178
1014,174556.77119274723
1507,84103.46673552648
702,152828.47276252438
750,153318.95129297193
261,147934.02975054484
1559,84873.18405261448
577,238143.58115097065
2812,208961.97682402734
2080,161125.86489160775
1368,131176.43669165726
2376,116842.90677359967
659,108264.99600090235
1235,122817.27914285622
332,103016.09506992162
1917,138976.86093675005
2094,248833.12978571042
1460,312045.54779705347
1471,202113.78535465288
1509,131479.78822411748
1922,139702.18061115063
433,483623.63970272813
460,271069.80042705964
1116,282182.27006532485
1137,176084.5505046246
53,170064.6304719732
2354,261409.26327985257
1475,215327.04645091045
1761,570982.9410919852
842,144299.06050253467
2739,152890.33390251175
2509,138420.0645042098
1007,205679.5550128002
2610,180441.38920458878
1952,80474.4883798163
2719,171088.41820008095
2921,111987.84249213434
1966,136992.94152975985
292,116770.04836567775
1204,203724.47483982015
1829,250435.9003752987
2419,178555.09425346646
391,159110.7295697519
798,118088.27080682732
481,178333.7242939846
193,219398.28597980586
555,124394.52301293044
899,88737.54027980237
2357,179797.7113230055
328,123992.29724645313
1356,114732.80752707084
1154,112625.00689232748
1730,173063.9332097132
2249,134718.9740182769
1119,271224.59680614003
2856,123507.77052667449
1394,142690.19976674454
2587,109813.55930513056
61,338732.0072638068
2661,226528.31015512403
2711,127202.97038343902
1147,188131.03883368758
757,140227.3193841625
2623,85247.59710266769
2378,152826.87348857376
1413,142157.14805457302
1722,226584.99435510195
1112,219132.08409483326
1623,192446.99925861563
1201,190861.98996550997
1513,120897.48645162932
957,239731.732217497
1171,274142.6424349898
1145,198700.1024593021
2726,231370.69064078975
703,155124.7749849265
760,86906.36112185284
1964,139766.9516010865
2512,175036.4293120363
159,189092.23283134928
1281,164293.38516127167
468,173566.35425787367
290,110067.5633742489
665,96687.96696838528
1463,297019.3771939426
1792,239129.65091149567
923,137679.1949641252
500,307891.2571067187
1408,141734.2945389704
331,89144.5431740298
170,62034.29149566594
2192,97680.15346993736
2571,326995.75631192944
2314,162102.18440232778
2647,96990.86591035899
422,448207.40841065196
2457,343153.99753752706
1838,202705.3892056797
2805,261103.43244333146
1645,163377.68825391497
1711,310257.60401011375
2825,265363.88808308874
322,355041.473527101
2103,290822.63164376223
342,120751.41468200891
600,108233.01946584968
488,201108.5856786433
1725,339981.2099170923
2246,271224.7413124202
2847,169094.78875534525
806,258981.64286449886
530,244171.850368683
963,179886.12878482294
2678,90262.70086948117
171,98416.87408204949
2401,399946.5187115995
805,223799.12042805448
2259,194082.4081581584
1748,136986.92099772484
1361,147669.67912280833
1677,130462.7251505962
1406,144833.33655217002
2322,232875.40360182046
688,165075.29691846392
143,136990.99513728963
804,198047.4948799277
1214,169507.44524753492
2828,146255.19569793882
1999,205241.28457222175
2467,191666.51662372856
2665,167839.15482138947
1538,398125.57841453253
398,114009.31594074235
2822,139890.86032656115
2157,141661.33248411032
1856,161128.06406452745
1269,79447.03076823518
2570,122741.24138768695
2320,236873.5109265386
1517,118416.74953215792
2304,127421.49403131743
1312,95781.94409861951
2012,129865.94352817579
506,216474.5982435004
2865,178507.47898686928
2367,103606.679991679
554,97115.06621706417
238,136169.66822353733
1954,113487.96197661477
2488,122396.37279352141
2291,115130.13781373587
1969,73827.13639820773
2725,159480.4603228313
1482,141994.67688061733
2763,214728.59488628354
503,251101.48543869768
1584,235801.32590501895
1531,153719.79153433393
2210,176253.29437859656
459,344069.6583249058
556,135907.50684097933
1347,143306.95717277788
1290,84138.40656984778
1388,113547.29295827188
1571,159690.5863741188
2754,194391.48217642552
765,132866.38281250495
2494,127128.145325183
2870,157646.99118678895
7,211438.1735848002
1114,239987.96654836216
2418,301706.48460852914
291,177002.5167197751
18,359185.94036367367
39,352576.5427405484
1001,276728.4712267004
2442,250109.7586445049
616,117297.12821954081
2680,68061.90823367113
1414,117037.23618398819
289,130456.1639814358
40,274245.5012363646
860,125491.70831161035
409,114099.05653881685
673,161804.026826225
2427,169398.56858731023
2036,216183.0842927331
2564,139430.1730961256
642,161552.2280394858
1008,185321.57253010556
1908,149444.30431361747
2519,206369.53466943218
1369,88700.39080370568
2855,164525.60792731176
712,85673.23095707031
1943,112924.19182978908
1958,129730.13568852386
107,116340.27283139338
2295,176207.40761285048
704,105546.26436886647
676,123036.82892901759
259,189221.95167854763
93,300236.2827217995
106,240149.53085529665
2315,189890.82711488818
1050,114930.9536682046
1095,179892.62081595446
2709,139220.66574016603
758,174672.43897280312
1496,166134.17341370863
2370,129993.60307818418
2458,277181.3174154874
2733,120049.73341899275
161,277549.7305564359
726,167272.50320725315
845,209850.83139454146
947,270211.07782573684
2232,131805.1846667421
2563,144725.58818688584
2299,116439.01100511402
211,105301.56530222174
605,162190.47261511214
1478,195148.55824858352
2247,274348.61364400404
2274,173227.4952024885
2869,182450.81672664115
967,233962.03429281074
2656,107540.63428518668
667,243511.48485499265
1042,108931.33512469388
2023,158817.14577675573
2447,396146.4398472265
2055,119215.39854971883
2275,289802.36524709244
2204,167871.04837701225
1563,265244.5449956804
483,208285.82567862706
796,131431.51686809203
1526,147604.9263141245
2042,176729.0242024298
442,338830.3071056176
1693,319951.37756772235
1468,219366.73601755625
1430,171015.5308640062
2605,157274.6675323298
1529,158304.83078578959
335,132560.1220623453
1287,147276.8828513447
31,111107.90075298947
1785,264289.6149026718
82,159386.63164862848
2620,122751.66491320169
252,186047.37858598854
721,75662.41789090843
2165,184318.47791146126
2316,169573.21337544458
775,127054.29581911497
1558,88863.71775014192
17,195294.89289042156
1022,238358.06978617358
925,112180.23931559364
438,297074.17418356263
1270,139572.74933470238
1272,125532.29424371364
215,123930.04558772327
266,231102.04929752083
2402,270600.72074079956
1250,120899.23785700124
1984,143522.13959009733
1279,146297.67916589638
377,260579.3054464218
1252,126113.24511941013
2156,280354.40567954944
499,321912.28812451044
1374,107420.75736560517
2898,273010.466511459
401,114534.08354745148
2721,176264.98273549922
2078,257889.57484027924
2589,123797.4097649169
1946,251956.0993712436
1334,122271.28378862588
2781,237849.2048889529
431,411740.7089345445
576,205525.569703296
1474,213224.42595601326
2254,134214.24941977375
2155,300239.6302500093
885,91922.43093783036
643,135106.16396243
1944,130465.46106863645
480,193986.05035486008
2845,110375.54796825492
2387,341067.79356330336
2407,207965.81585843358
2527,163597.2537858925
2514,113758.35989877125
629,180175.4361436241
80,213541.93744994106
1876,136238.6337047537
1546,134201.59219892326
2518,169269.56400522566
2347,158891.93313281212
783,167069.95877975167
1322,79132.16970929298
194,86485.70083975434
1770,299044.4182291744
2143,132772.13505655338
1229,205074.37474046968
511,294624.01891844627
46,211018.1771193345
1348,169198.31659851823
2465,188184.7209209235
387,237165.71706225385
873,213761.31747346485
1918,120912.65287659522
2764,233721.86173150182
2184,135441.15290497703
934,146328.6882321995
1920,137324.07979485695
2631,144483.79833981645
1768,558427.7836652899
2040,119626.70496994788
1749,226344.64275439738
834,230822.20671352115
1457,263042.6284983534
79,112723.41234588485
2302,117433.64005681456
1817,127560.30014697456
2755,256109.7793345838
359,163656.17432486336
2059,116427.28537793498
2092,246277.25068207437
2516,250917.42385058035
150,117749.4100486324
1656,153106.49414890358
83,107767.48367843215
2411,181650.173632825
795,75453.53310216936
2312,258302.2520424677
2917,85806.19992395403
1624,173707.67655031
2215,304986.72867516853
1211,151598.4452889784
1485,142186.8720243361
1024,170925.40423059947
570,194909.28576045993
2874,137849.60456739433
700,147803.40852291186
2756,224228.00567167875
2022,199744.15424825094
583,226091.2018933951
2392,346493.12854265
2424,207012.35384830396
212,113195.61176010061
736,134577.4221610934
1610,169541.063253337
890,123896.1628901073
467,169995.85210353343
578,239026.7067792756
1747,144055.4602986616
1149,159677.52167849767
2758,224071.29575301468
857,131398.2208052412
2219,276857.3875832572
733,111049.28558192946
2909,122092.05161425823
1798,270867.5304100507
235,118431.05807348562
2366,141686.01952462687
1027,138276.8782378108
1195,138986.15611582142
1303,78309.07336103285
148,165018.13704730093
608,147253.38396502985
2515,180844.50108926202
821,286022.27112906834
2500,293447.4702237182
745,125094.78522647078
741,139481.34694629727
1611,120187.2630824259
2532,108690.15704416955
1081,221568.2622344468
1692,430466.3859373295
2520,172097.75226245302
276,107403.38870967148
1992,134431.20653843574
663,78260.56351093552
418,125504.486855326
1733,188765.4282019065
2359,141667.7398199243
253,190747.76659765607
1518,168536.0718849096
2035,143274.14309380218
2919,103016.09506992162
1540,225886.11389833904
2120,150966.4670443593
1674,181628.66947760148
256,146437.17671996474
2361,109577.10497106609
978,93641.41457150297
2280,176130.79484166446
2095,225187.9632762071
1709,330421.6370605709
2801,247173.9391943501
1246,101312.75071317932
2373,106494.15259191583
1055,282139.5839121899
2017,118432.70467047713
1099,275017.91704088973
1344,67012.6491671478
835,171236.28299838566
1117,225565.2402597416
2043,85349.05761743411
2085,130329.14059647071
410,157446.75297724776
2650,113258.35896859207
2867,155630.71068402744
1668,124044.51765105856
1161,145539.95607357376
2122,161198.4012405674
2539,143739.80984044622
1047,131105.19978510775
1445,127507.49201482968
541,142142.13588396355
569,229723.78436875046
1276,113373.5539240604
918,129418.85364439772
326,164498.4544879528
1936,129044.6064841904
895,105498.09089241075
257,141787.827878595
1241,172578.84817693208
1545,123989.36625836517
1189,175157.32188963436
270,142186.8720243361
2066,231310.21482065436
693,112539.4778941282
1259,140386.76060153806
2916,144397.26851365448
2321,291490.14535161335
1977,109147.98158326522
1895,154208.8129516269
1240,159814.99599386848
85,151869.21070282382
1823,119813.59867889527
825,299574.9672740288
110,219701.3252986769
697,117011.25100229657
2297,103176.63102303843
1231,136542.03670738474
1355,138745.37757794905
968,351788.4526819709
584,212801.82489655583
1315,117693.46945995587
1606,132968.68093089806
206,112007.75242990156
1685,337762.8345468909
2016,138852.9198418029
869,225244.47892091182
2135,123192.88787324593
2346,165297.7528555623
2430,220047.43060145626
2198,90920.3747201078
2652,121891.32488857285
27,114537.34894771724
241,172280.678141059
906,117275.85191252941
1506,110295.64307354961
2098,400034.19499860704
1435,212941.43635350262
2213,91748.80406860207
1274,117890.11059769415
743,79347.22025587554
1737,200267.57844718645
2797,288223.1868519607
2185,74958.29031769541
58,140447.06756720404
830,190469.6267568048
808,116245.09843395298
